Abbreviation,Subregion,mean_intensity,SD_intensity,mean_size,SD_size
CA1so_1,CA1so,5238.840415,521.814187,0.098431443,0.004938652
CA1so_2,CA1so,6941.496104,363.7907407,0.098712444,0.005831131
CA1so_3,CA1so,7076.91979,390.8482831,0.099208028,0.004146485
CA1so_4,CA1so,6735.334407,308.8202491,0.099048951,0.005469521
CA1so_5,CA1so,5852.412584,158.8169944,0.099241383,0.005586414
CA1sr_1,CA1sr,6440.460305,196.5304489,0.1003016,0.006436622
CA1sr_2,CA1sr,6719.578741,139.2290115,0.099965241,0.005074233
CA1sr_3,CA1sr,6889.87457,291.8031272,0.101452736,0.005889067
CA1sr_4,CA1sr,7025.885706,193.5757366,0.100995502,0.004387427
CA1sr_5,CA1sr,7260.52368,226.279719,0.101064986,0.003503071
CA1sr_6,CA1sr,7396.163442,84.98676557,0.102427996,0.006651148
CA1sr_7,CA1sr,7534.251789,337.0356117,0.103194981,0.005409097
CA1sr_8,CA1sr,7806.415538,61.57760239,0.104213108,0.006556979
CA1sr_9,CA1sr,7539.107423,263.5770876,0.104055935,0.005048435
CA1sr_10,CA1sr,6605.567811,449.2684475,0.104664,0.005704379
CA1slm_1,CA1slm,4917.304334,263.3812796,0.103248935,0.004729437
CA1slm_2,CA1slm,5709.141983,363.6356417,0.104303662,0.00480482
CA1slm_3,CA1slm,6235.432414,324.3976646,0.104640308,0.004516644
CA1slm_4,CA1slm,6440.382065,478.4441871,0.104235423,0.004387308
CA1slm_5,CA1slm,6697.466017,464.6140198,0.106182817,0.006847056