Abbreviation,D0W3_MEAN,D0W3_SD,D7W3_MEAN,D7W3_SD,D0M3_MEAN,D0M3_SD,D7M3_MEAN,D7M3_SD,D0M18_MEAN,D0M18_SD,D7M18_MEAN,D7M18_SD
rd1,4416.797979,349.4002097,891.5926351,1544.283744,5472.339257,168.7143431,3243.259501,131.3246363,5736.214919,417.6133935,3432.617587,192.9806781
rd2,4787.935275,461.2946428,966.0826126,1673.304169,5740.390787,156.1842158,3434.643958,77.00317745,6124.331025,304.1473615,3524.483708,89.38635867
rd3,4995.669447,480.5906695,984.6536662,1705.470178,5721.325007,104.3391766,3370.06829,90.86649632,5959.020262,289.3768385,3513.726362,151.4577338
rd4,5379.615179,507.1277269,959.165539,1661.323446,5874.019286,106.9108046,3441.11878,133.7783983,6073.469668,271.7664742,3591.334451,109.6125133
rd5,5581.476272,567.8468299,988.4749343,1712.088808,6029.201211,101.8166593,3506.944609,140.471812,6209.664974,267.0164781,3605.158029,71.78258939
rd6,5706.794752,579.3728649,1041.087603,1803.216624,6233.656627,139.3467743,3538.665655,140.2732007,6293.561121,305.3920626,3673.88413,75.80769448
rd7,6139.536365,731.6803842,1062.906599,1841.008233,6411.363525,279.4406104,3678.827887,141.0070672,6603.121895,113.7067575,3707.253046,140.1757871
rd8,6416.887538,586.2622972,1402.478303,1631.801758,6764.162465,370.3550314,3690.123263,117.8474025,7018.170791,273.0994931,3742.191043,96.12223997
rd9,6541.959635,695.2547271,1807.696158,1623.585061,6728.301286,381.1013009,3702.689522,156.6117959,7055.896327,74.17968027,3770.635861,144.596513
rd10,6537.443275,746.1034913,2626.516609,535.319766,6292.5339,277.0778412,3684.543584,148.0097074,6639.10822,196.4682209,3675.107669,129.2634927